instruction,output
고양이의 신장 기능 장애 (CKD)를 진단하는 데 사용되는 기준 중 하나는 무엇입니까?,고양이의 신장 기능 장애 (CKD)를 진단하는 기준 중 하나는 혈중 크레아티닌 (sCr) 수치가 0.73-1.83 mg/dL 범위 이상인 경우입니다.
"말의 심박수 변동성(HRV)을 분석할 때, % R-R 변동(percent instantaneous beat-to-beat cycle length variation)이 중요한 이유는 무엇입니까?",% R-R 변동은 개별 조기 수축을 정상적인 변동성과 구별하는 데 도움이 됩니다.
단회투여 에날프라일과 베나제프리일의 용량은 얼마입니까?,0.5 mg/kg
DOX와 MTX가 사용되는 암의 종류는 무엇입니까?,"DOX와 MTX는 림프종, 편평세포암, 미분화 갑상선암, 정소 종양, 조기 자궁 내막암, 전이성 폐암, 재발성 또는 전이성 암과 같은 다양한 암을 치료하는 데 사용됩니다."
개에서 아ORT 혈전증 (ATh)의 원인은 무엇입니까?,"개에서 아ORT 혈전증 (ATh)의 원인은 다양하며, 단백질 손실성 질환, 내분비질환, 악성종양 등이 보고되었습니다. 그러나 일부 개에서는 근본적인 원인을 찾을 수 없습니다."
피모벤단(pimobendan)이 개들의 심부전 치료에 도움이 되는 이유는 무엇입니까?,피모벤단은 개들의 심장 질환인 MMVD (myxomatous mitral valve disease)의 치료와 심부전 발생 지연에 효과적입니다. 이는 개들의 심장 기능과 생리학에 긍정적인 영향을 미치기 때문입니다.
엔도스코프의 오염을 방지하기 위해 사용되는 현재 주요 소독제 제품은 무엇입니까?,오르토-프탈알데하이드 (OPA)와 가속화된 수소 과산화물 (AHP)이 엔도스코프를 소독하는 데 사용되는 두 가지 주요 제품입니다.
R. equi가 일으키는 질병의 증상은 무엇입니까?,"R. equi는 심각한 폐렴을 일으킬 수 있으며, 외안격막염, 건막염, 위장염, 복부 복막염과 같은 외증상도 일으킬 수 있습니다."
이 연구의 목적은 무엇입니까?,"이 연구의 목적은 말의 생체분자 농도가 간질환과 관련된 조직학적 특징과 어떻게 연관되는지, 그리고 생존 기간에 어떤 영향을 미치는지를 결정하는 것입니다."
"고양이의 췌장염 진단을 위한 혈액 검사에서, fTLI 농도가 100 μg/L를 초과하는 경우 진단 정확도는 얼마입니까?",85%입니다.
Chagas disease는 어떤 종류의 감염입니까?,Chagas disease는 기생충 감염입니다.
말의 천식 발병률은 얼마입니까?,약 15%
개 소유자가 개 공원을 이용하는 이점에 대해 설명하십시오.,"개 공원을 이용하면 개와 주인 모두에게 다양한 이점이 있습니다. 개들은 목줄을 풀고 다른 개들과 상호 작용하며, 주인은 사회적 상호 작용을 통해 다른 개 주인과 교류하고, 개들의 활동적인 생활로 인해 주인들의 활동 수준도 높아집니다."
SAMS 증후군의 유전적 원인은 무엇입니까?,"SAMS 증후군은 KCNJ10 유전자의 변이에 의해 발생합니다. 이 유전자는 뇌, 척수, 내이 및 신장에서 발현되는 전압-의존성 칼륨 채널을 암호화합니다."
개에서 자연적으로 발생하는 췌장염과 관련된 위험 요인은 무엇입니까?,고트리글리세리드혈증은 개에서 자연적으로 발생하는 췌장염과 관련된 위험 요소입니다.
개에서 기회 감염성 진균피부염(opportunistic cutaneous fungal infections)의 발병률은 얼마입니까?,13%
이 연구에서 개를 제외시킨 이유는 무엇입니까?,"개들은 임상적으로 hypoadrenocorticism의 증상을 보였거나, 잘 조절되지 않은 hyperadrenocorticism을 보였습니다."
당뇨병의 분류에 대해 설명하시오.,"당뇨병은 크게 세 가지 유형으로 분류할 수 있습니다: 인슐린 의존성 당뇨병(IDDM), 인슐린 비의존성 당뇨병(NIDDM), 그리고 기타(담석, 내분비질환, 약물 등에 의한 당뇨병)입니다. 또한, 임신성 당뇨병과 공복혈당장애, 경계를 넘나드는 전(前) 당뇨병 상태도 포함됩니다."
 뇌 종양의 영향에는 어떤 것들이 있습니까?,"뇌 종양은 질량 효과, 뇌 압박, 뇌 부종, 뇌 수술, 뇌 혈관 폐쇄를 포함한 다양한 영향을 미칠 수 있습니다."
다음 중 미국 이외의 국가에서 온 학생이 있는가?,"예, 캐나다, 브라질, 영국, 오스트리아, 스위스, 노르웨이, 스웨덴, 남아프리카 공화국, 스페인, 오스트레일리아, 프랑스, 네덜란드, 세인트 키츠 앤 네비스 등 다양한 국가에서 온 학생들이 있습니다."
치료 모니터링이 필요한 이유는 무엇입니까?,"과다 복용 시 출혈과 같은 부작용을 초래할 수 있고, 충분한 용량을 투여하지 않으면 혈전증의 위험이 여전히 존재하기 때문에 치료 모니터링이 필요합니다."
개에서 식도 운동 장애의 가능한 원인은 무엇입니까?,"개에서 식도 운동 장애의 가능한 원인으로는 해부학적 이상, 기능적 이상 또는 둘 다가 포함될 수 있습니다."
 TMS와 MMEP 검사가 말의 신경학적 장애를 감지하는 데 어떻게 도움이 될 수 있습니까?,"TMS(Transcranial Magnetic Stimulation, 경두개 자기 자극)와 MMEP(Magnetic Motor Evoked Potentials, 자기 운동 유발 잠재력) 기록은 말의 신경학적 기능을 평가하는 민감한 방법입니다. TMS는 뇌에 작은 자기장을 가하여 신경 활동을 자극하고, MMEP는 근육의 전기적 반응을 측정하여 신경 전달의 효율성을 평가합니다. 이 기술은 신경 장애를 진단하고, 척수 손상이나 압박과 같은 특정 상태를 감지하며, 치료 반응을 모니터링하는 데 도움이 될 수 있습니다."
디지털 청진기(DAD)가 말의 호흡 소리를 분석하는 데 도움이 될 수 있는 방법은 무엇입니까?,"DAD는 호흡 기간, 변동성 및 강도뿐만 아니라 기침과 추가 소리의 빈도를 포함하여 호흡 관련 변수를 특성화하고 정량화하는 데 도움이 될 수 있습니다."
일ئ관 내시경 검사의 목적은 무엇입니까?,"일ئ관 내시경 검사는 위장, 십이지장, 결장의 내시경 검사만으로는 진단이 어려웠던 경우를 진단하기 위한 것입니다."
고양이의 호흡기 질환과 관련된 알레르기 반응을 평가하기 위해 사용되는 테스트는 무엇입니까?,피부 프리크 테스트(skin prick tests)는 고양이의 호흡기 질환과 관련된 알레르기 반응을 평가하는 데 사용되는 테스트입니다.
골든 리트리버 라이프타임 연구 (Golden Retriever Lifetime Study)는 무엇을 평가하기 위해 고안되었습니까?,골든 리트리버의 건강과 복지를 영향을 미치는 다양한 요인을 평생에 걸쳐 평가하기 위한 것입니다.
말의 위궤양의 가장 흔한 원인은 무엇입니까?,말의 위궤양은 주로 위산 역류와 빈약한 위 내용물 배출로 인해 발생합니다.
IHD 치료 중 초필터레이션 속도가 너무 높으면 어떤 합병증이 발생할 수 있나요?,초필터레이션 속도가 너무 높으면 저혈압과 관련된 합병증이 발생할 수 있습니다.
개에서 만성 장염을 진단하는 데 사용되는 잠재적인 생체표지자에는 어떤 것이 있습니까?,개에서 만성 장염을 진단하는 데 도움이 될 수 있는 잠재적인 생체표지자로 시트룰린이 있습니다.
개에서 발작을 일으키는 질환 중 어떤 것이 '클러스터 발작'과 '상태 발작'으로 분류될 수 있습니까?,"개에서 발작을 일으키는 질환 중 클러스터 발작(cluster seizures)은 24시간 이내에 2회 이상의 발작이 발생하는 경우로 정의되며, 상태 발작(status epileptic)은 발작이 5분 이상 지속되거나 발작 사이에 의식이 회복되지 않는 경우로 정의됩니다."
말의 체중이 혈압에 어떤 영향을 미칩니까?,"과체중 말은 혈압이 감소하지 않는 경향이 있는 반면, 정상 체중의 말은 혈압이 약간 감소합니다."
루브릭의 사용이 고양이의 장내 미생물 구성에 어떤 영향을 미칠 수 있습니까?,루브릭의 사용은 장내 미생물총의 다양성과 풍부성에 영향을 미칠 수 있습니다.
교정된 참조 번호는 무엇입니까?,"7, 16 및 25번 참조가 수정되었습니다. 교정 후의 참조는 다음과 같습니다: 7. Clish CB. Metabolomics: an emerging but powerful tool for precision medicine. Cold Spring Harb Mol Case Stud. 2015;1(1):a000588., 16. R Core Team. R: A Language and Environment for Statistical Computing; 2020. Vienna, Austria. https://www.R-project.org/. Accessed November 28, 2020., 25. Mosallanejad B, Ghadiri A, Avizeh R, et al. Serum concentrations of lipids and lipoproteins and their correlations with thyroid hormones in clinically healthy German shepherd dogs: effects of season, sex and age. Iran J Vet Sci Technol. 2014;6(2):53-61."
개에서 척수 손상의 심각한 합병증인 '상행 및 하행 경화'의 유병률은 얼마입니까?,"개의 thoracolumbar intervertebral disk herniation (TL-IVDH)에 대한 수술적 치료를 받은 652마리의 개에서, 13마리가 상행 및 하행 경화를 개발하여 전반적인 유병률이 2.0%였습니다."
카디오-레날 신드롬이란 무엇인가요?,카디오-레날 신드롬은 심장과 신장 사이의 복잡한 상호작용을 의미합니다.
코�ס-2 선택적 억제제의 장점은 무엇입니까?,"코�ס-2 선택적 억제제는 비선택적 코크스 억제제에 비해 위장, 신장, 혈관 등의 부작용이 적어 안전성이 높습니다."
브루셀라 수의학 연구에서 개를 대상으로 한 임상 시험에 참여한 개 수는 몇 마리였습니까?,27마리
개에서 급성 담관 간염과 관련된 원생생물은 무엇입니까?,Hammondia heydorni
이 연구의 주요 목표는 무엇입니까?,이 연구의 주요 목표는 경주 당일 푸로세미드 투여를 대체할 수 있는 프로토콜을 조사하는 것입니다.
IAD와 heaves를 구별하는 데 도움이 되는 biomarker는 무엇입니까?,"SP-D (surfactant protein D)는 IAD를 가진 말의 혈중 농도가 증가하지만, heaves에서는 증가하지 않습니다."
개에서 뇌와 척수 질환을 구별하는 데 도움이 될 수 있는 빠른 바이오마커는 무엇입니까?,뇌척수액(CSF)의 젖산 농도입니다.
로베나코キシ브가 고양이 만성 근골격계 질환 (CMSD) 치료에 비해 부작용의 위험을 증가시키지 않는 것으로 나타난 임상 시험의 기간은 얼마입니까?,4-12주
131I 치료를 받은 고양이 중 아조테미아로 분류된 고양이의 수는?,16
SPSS 버전 24 소프트웨어는 어떤 용도로 사용되나요?,데이터 분석
TEE(Transesophageal Echocardiography)가 중요한 진단 도구인 이유는 무엇입니까?,"TEE는 고해상도의 심장 이미지를 제공하여, 특히 소아 환자에서 접근하기 어려운 심장 질환을 진단하고 모니터링하는 데 도움을 주기 때문입니다."
MMA에 대한 histologic 분석에서 alcian blue와 hematoxylin-eosin-phloxine-saffron (HEPS) 염색이 사용되는 이유는 무엇입니까?,"alcian blue 염색은 연골 조직을 시각화하는 데 사용되며, HEPS 염色は 세포핵과 세포질, 혈액과 세포의 미세구조를 시각화하는 데 사용됩니다."
개에서 idiopathic inflammatory bowel disease (IBD)의 증상은 무엇입니까?,"개에서 idiopathic inflammatory bowel disease (IBD)의 증상으로는 복통, 설사, 구토, 체중 감소, 피로감 등이 있습니다."
"개들의 KCNQ1 유전자 분석 결과, 세 개의 개에서 QT 연장(prolongation)이 발견되었습니다. 이 세 마리의 개가 가진 돌연변이는 어떤 특징을 가집니까?",세 마리의 개는 코돈 1의 엑손 8에서 사이토신(C)이 아데닌(A)으로 변한 헤테로접합성 단일 염기 치환 돌연변이를 가졌습니다. 이 돌연변이는 단백질의 377번째 아미노산을 트레오닌(T)에서 리신(K)으로 변화시킵니다.
감소된 신장 기능에 대한 초기 지표인 단백질뇨의 감지를 위해 일반적으로 사용되는 방법은 무엇입니까?,단백뇨의 초기 감지를 위해 일반적으로 사용되는 방법은 소변 dipstick 테스트입니다.
개에서 만성 염증성 장질환  (CIE)의 중증도와 치료 반응에 대한 fecal calprotectin 농도의 연관성에 대해 설명하십시오.,"fecal calprotectin 농도는 개에서 CIE의 중증도와 긍정적인 상관관계가 있으며, 치료 반응을 예측하는 데 도움이 될 수 있습니다. 즉, fecal calprotectin 농도가 높은 개는 더 심각한 질병을 가지고 있으며, 치료에 대한 반응도 덜할 수 있음을 나타냅니다."
이 연구의 목적은 무엇입니까?,"이 연구의 목적은 개에서 SARDS, 정상 개 및 PDH를 가진 개의 멜라토닌, 세로토닌, 도파민과 소변 MT6s:크레아티닌 비율의 기저선을 확립하는 것입니다."
심장 질환이 있는 개들의 평균 수명은 얼마입니까?,평균 수명은 약 160일 (약 5개월)입니다.
CHG가 습득할 수 있는 질환인 이유는 무엇입니까?,"CHG는 요오드 결핍이나 과잉, 주로 임산부의 식단이나 태아와 신생아기의 갑상선 기능 저하를 일으키는 괴행성 화합물에 과도하게 노출되어 발생할 수 있습니다."
이 연구에서 개들의 혈액 샘플을 채취한 목적은 무엇입니까?,심각한 척수 손상 후 개들의 신경 손상을 평가하고 예측하기 위해 세 가지 바이오마커의 혈청 농성 변화를 연구하기 위함입니다.
말의 피부 조직에서 cannabinoid 수용체 (CBR)가 발견되었나요?,"예, 말의 피부 조직에서 cannabinoid 수용체 (CBR)가 발견되었습니다."
Cu/Zn 비율이 높은 것은 어떤 건강 상태를 나타냅니까?,"Cu/Zn 비율이 높은 것은 장의 기능 장애, 면역 기능 저하, 산화 스트레스 증가 및 영양실조와 관련이 있습니다."
코키디오이데스(Coccidioides)는 개에게 어떤 질환을 일으킬 수 있나요?,코키디오이데스(Coccidioides)는 개에게 폐렴과 같은 호흡기 질환을 일으킬 수 있습니다.
개에서 비절제성 간암을 치료하기 위한 DEB-TACE (drug-eluting bead chemoembolization)의 주요 목표는 무엇입니까?,DEB-TACE 치료의 주요 목표는 개에서 비절제성 간암의 치료입니다.
"RAI 치료 후 고양이의 TT4 농도가 높은 경우, 추가적으로 고려해야 할 요인은 무엇인가?",고양이가 실내외 생활을 하는지 여부
